exchange_nr,source,company,means_of_exchange,orig_yr,dest_yr,orig_loc_port_modern,orig_loc_region_modern,orig_loc_abr,dest_loc_port,dest_loc_region,dest_loc_abr,textile_quantity,textile_unit,textile_category,textile_subcategory,textile_name,textile_modifier_fulltext,textile_color_arch,textile_color_inf,textile_pattern_arch,textile_process_arch,textile_fiber_arch,textile_geography_arch,textile_quality_arch,textile_other_unknown_arch,textile_quality_inferred,supplier,total_value,price_per_unit
2004624,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),80,ps.,NA,NA,bethilles,cangan Bengaals,NA,NA,NA,NA,NA,Bengal,NA,cangan,NA,NA,579.0925,7.23865625
2004625,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),300,ps.,NA,NA,chintz/kalamkari,Bengaals,NA,NA,NA,NA,NA,Bengal (Patna),NA,NA,NA,NA,731.3249999999999,2.43775
2004626,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),860,ps.,NA,NA,caffa,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,6988.047499999999,8.125636627906974
2004627,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,deriabadys,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,321.09,3.2108999999999996
2004628,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),240,ps.,NA,NA,douriasten,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,2149.2975,8.955406250000001
2004629,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),1000,ps.,NA,NA,dasje,Bengaals,NA,NA,NA,NA,silk,Bengal,NA,NA,NA,NA,595.4549999999999,0.595455
2004630,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),200,ps.,NA,NA,photaes,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,513.975,2.569875
2004631,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),1300,ps.,NA,NA,gerras,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,2512.37,1.9325923076923075
2004632,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),520,ps.,NA,NA,guinea cloth,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,2872.3799999999997,5.523807692307692
2004633,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),60,ps.,NA,NA,hammans,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,349.3875,5.823125
2004634,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),450,ps.,NA,NA,mallemolens,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,4104.5374999999995,9.121194444444443
2004635,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),554,ps.,NA,NA,roemaals,neusdoeken Bengaals,NA,NA,NA,NA,NA,Bengal,NA,handkerchief,NA,NA,1821.925,3.288673285198556
2004636,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),240,ps.,NA,NA,soesjes,Bengaals,NA,NA,NA,NA,silk,Bengal,NA,NA,NA,NA,2378.1974999999998,9.909156249999999
2004637,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),150,ps.,NA,NA,tanjeebs,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,2326.2225,15.508149999999999
2004638,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),50,ps.,NA,NA,therindains,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,670.3199999999999,13.406399999999998
2004639,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),6828.75,lb.,fiber (unprocessed),NA,silk,ruw Bengaals,NA,natural,NA,NA,silk,Bengal,NA,raw,NA,NA,21264.8275,3.1140146439685155
2004640,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),758.75,lb.,yarn,NA,yarn,Bengaals florette garen,NA,NA,NA,NA,silk (floret),Bengal,NA,NA,NA,NA,1650.1275,2.1747973640856673
2004641,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),151.75,lb.,yarn,NA,yarn,Bengaals,NA,yellow,NA,NA,silk (tussur),Bengal,NA,NA,NA,NA,335.265,2.209324546952224
2004642,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,brawles,Lambi Surats,NA,NA,NA,NA,NA,Gujarat (Surat/Lambi),NA,NA,NA,NA,729.2249999999999,7.292249999999999
2004643,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),160,ps.,NA,NA,baftas,wit breed Surats,white,NA,NA,NA,NA,Gujarat (Surat),NA,wide,NA,NA,489.825,3.06140625
2004644,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),240,ps.,NA,NA,baftas,wit smal Surats,white,NA,NA,NA,NA,Gujarat (Surat),NA,narrow,NA,NA,581.3849999999999,2.4224374999999996
2004645,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),80,ps.,NA,NA,baftas,zwart Surats,black,NA,NA,NA,NA,Gujarat (Surat),NA,NA,NA,NA,236.40749999999997,2.9550937499999996
2004646,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),300,ps.,NA,NA,beraupaats,wit Surats,white,NA,NA,NA,NA,Gujarat (Surat),NA,NA,NA,NA,1238.7375,4.129125
2004647,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,beraupaats,blauw Surats,blue,NA,NA,NA,NA,Gujarat (Surat),NA,NA,NA,NA,442.12,4.4212
2004648,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,bherms,breed Surats,NA,NA,NA,NA,NA,Gujarat (Surat),NA,wide,NA,NA,295.66249999999997,2.956625
2004649,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),200,ps.,NA,NA,chintz/kalamkari,metsilia Surats,NA,NA,NA,NA,NA,Gujarat (Surat),NA,metsilia,NA,NA,565.3725,2.8268625
2004650,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),200,ps.,NA,NA,chintz/kalamkari,chiaboutria Surats,NA,NA,NA,NA,NA,Gujarat (Surat),NA,chiaboutria,NA,NA,600.25,3.00125
2004651,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),1200,ps.,NA,NA,corroots,Surats,NA,NA,NA,NA,NA,Gujarat (Surat),NA,NA,NA,NA,732.5325,0.6104437500000001
2004652,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),360,ps.,NA,NA,savogesjes,wit Surats,white,NA,NA,NA,NA,Gujarat (Surat),NA,NA,NA,NA,1007.1075000000001,2.7975208333333335
2004653,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),320,ps.,NA,NA,nickanees,Surats,NA,NA,NA,NA,NA,Gujarat (Surat),NA,NA,NA,NA,604.1875,1.8880859375
2004654,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),690,lb.,yarn,NA,yarn,katoenen Surats,NA,NA,NA,NA,cotton,Gujarat (Surat),NA,NA,NA,NA,235.06,0.3406666666666667
2004655,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),450,lb.,fiber (unprocessed),NA,kiermanse wol,Kirmans,NA,NA,NA,NA,wool,Persia (Kirman),NA,NA,NA,NA,351.4,0.7808888888888889
2004656,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),200,ps.,NA,NA,handrottingen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.14,0.1407
2004657,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),1500,lb.,yarn,NA,yarn,katoenen Javaans,NA,NA,NA,NA,cotton,Java,NA,NA,NA,NA,563.8149999999999,0.37587666666666664
2004658,bgb_17974,VOC,Luchtenburg,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),205.375,lb.,fiber (unprocessed),NA,silk,ruw Chinees,NA,natural,NA,NA,silk,China,NA,raw,NA,NA,800.4849999999999,3.897674984783931
2004659,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,bethilles,gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),NA,NA,NA,NA,547.785,5.47785
2004660,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),200,ps.,NA,NA,bethilles,tarnatannes Kust,NA,NA,NA,NA,NA,Coast (presumed Coromandel),NA,tarnatannes,NA,NA,1173.375,5.866875
2004661,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),200,ps.,NA,NA,bethilles,otisaals Kust,NA,NA,NA,NA,NA,Coast (presumed Coromandel),NA,otisaals,NA,NA,1149.3999999999999,5.746999999999999
2004662,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,bethilles,sesterganty Kust,NA,NA,NA,NA,NA,Coast (presumed Coromandel),NA,sesterganty,NA,NA,949.8825,9.498825
2004663,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,bethilles,callawapores Kust,NA,NA,NA,NA,NA,Coast (presumed Coromandel),NA,callawapores,NA,NA,897.3825,8.973825
2004664,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),160,ps.,NA,NA,baftas,gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),NA,NA,NA,NA,503.8075,3.148796875
2004665,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),80,ps.,NA,NA,baftas,blauw Kust,blue,NA,NA,NA,NA,Coast (presumed Coromandel),NA,NA,NA,NA,348.72249999999997,4.359031249999999
2004666,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,chintz/kalamkari,geschilderd Kust,NA,NA,NA,painted,silk,Coast (presumed Coromandel),NA,NA,NA,NA,889.3149999999999,8.893149999999999
2004667,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),160,ps.,NA,NA,dongris,ruw Kust,NA,natural,NA,NA,NA,Coast (presumed Coromandel),NA,raw,NA,NA,301.90999999999997,1.8869374999999997
2004668,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),320,ps.,NA,NA,dongris,gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),NA,NA,NA,NA,576.7125,1.8022265625
2004669,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),60,ps.,NA,NA,guinea cloth,fijn gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),fine,NA,NA,NA,912.9749999999999,15.216249999999999
2004670,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),200,ps.,NA,NA,guinea cloth,ruw Kust,NA,natural,NA,NA,NA,Coast (presumed Coromandel),NA,raw,NA,NA,1435.1574999999998,7.175787499999999
2004671,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),740,ps.,NA,NA,guinea cloth,gemeen gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),ordinary,NA,NA,NA,5384.54,7.276405405405406
2004672,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),80,ps.,NA,NA,guinea cloth,blauw Kust,blue,NA,NA,NA,NA,Coast (presumed Coromandel),NA,NA,NA,NA,825.1949999999999,10.3149375
2004673,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),1360,ps.,NA,NA,salempores,gemeen gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),ordinary,NA,NA,NA,4351.549999999999,3.1996691176470584
2004674,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),320,ps.,NA,NA,salempores,ruw Kust,NA,natural,NA,NA,NA,Coast (presumed Coromandel),NA,raw,NA,NA,988.2774999999999,3.0883671875
2004675,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),80,ps.,NA,NA,salempores,blauw Kust,blue,NA,NA,NA,NA,Coast (presumed Coromandel),NA,NA,NA,NA,335.35249999999996,4.19190625
2004676,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),320,ps.,NA,NA,percallen,gemeen gebleekt Kust,NA,white,NA,bleached,NA,Coast (presumed Coromandel),ordinary,NA,NA,NA,539.3675,1.6855234374999999
2004677,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),300,ps.,NA,NA,armosynen,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,NA,NA
2004679,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),330,ps.,NA,NA,silk stuffs,zijden,NA,NA,NA,NA,silk,NA,NA,NA,NA,NA,1378.7024999999999,4.177886363636364
2004680,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,allibannes,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,513.6424999999999,5.136424999999999
2004681,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),80,ps.,NA,NA,bethilles,cangan Bengaals,NA,NA,NA,NA,NA,Bengal,NA,cangan,NA,NA,556.2024999999999,6.952531249999998
2004682,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),720,ps.,NA,NA,caffa,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,5950.034999999999,8.263937499999999
2004683,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),400,ps.,NA,NA,chintz/kalamkari,Bengaals,NA,NA,NA,NA,NA,Bengal (Patna),NA,NA,NA,NA,1091.5449999999998,2.7288624999999995
2004684,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),200,ps.,NA,NA,deriabadys,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,642.18,3.2108999999999996
2004685,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),1000,ps.,NA,NA,dasje,Bengaals,NA,NA,NA,NA,silk,Bengal,NA,NA,NA,NA,507.62249999999995,0.5076225
2004686,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),320,ps.,NA,NA,douriasten,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,3369.31,10.52909375
2004687,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),200,ps.,NA,NA,photaes,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,475.70249999999993,2.3785125
2004688,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),1200,ps.,NA,NA,gerras,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,2835.21,2.362675
2004689,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),520,ps.,NA,NA,guinea cloth,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,3188.1674999999996,6.131091346153846
2004690,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),75,ps.,NA,NA,gingham,taffachelas Bengaals,NA,NA,NA,NA,NA,Bengal,NA,taffachelas,NA,NA,258.24749999999995,3.4432999999999994
2004691,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,gingham,geruit Bengaals,NA,NA,checkered,NA,NA,Bengal,NA,NA,NA,NA,538.0024999999999,5.380025
2004692,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),120,ps.,NA,NA,hammans,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,807.6775,6.730645833333333
2004693,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),450,ps.,NA,NA,mallemolens,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,3788.96,8.41991111111111
2004694,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),500,ps.,NA,NA,roemaals,neusdoeken Bengaals,NA,NA,NA,NA,NA,Bengal,NA,handkerchief,NA,NA,1344.0874999999999,2.6881749999999998
2004695,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),240,ps.,NA,NA,soesjes,Bengaals,NA,NA,NA,NA,silk,Bengal,NA,NA,NA,NA,2561.3175,10.67215625
2004696,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),100,ps.,NA,NA,tanjeebs,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,1512.28,15.1228
2004697,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),50,ps.,NA,NA,therindains,Bengaals,NA,NA,NA,NA,NA,Bengal,NA,NA,NA,NA,670.3199999999999,13.406399999999998
2004698,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),6828.75,lb.,fiber (unprocessed),NA,silk,ruw Bengaals,NA,natural,NA,NA,silk,Bengal,NA,raw,NA,NA,21151.392499999998,3.0974032582829945
2004699,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),607,lb.,yarn,NA,yarn,Bengaals florette garen,NA,NA,NA,NA,silk (floret),Bengal,NA,NA,NA,NA,1336.3874999999998,2.201626853377265
2004700,bgb_17982,VOC,Loenderveen,1722,1723,Jakarta (former Batavia),Jakarta (former Batavia),Jakarta (fmr Batavia),Hoorn,Netherlands (former Dutch Republic),Netherlands (fmr Dutch Rep),303.5,lb.,yarn,NA,yarn,Bengaals,NA,yellow,NA,NA,silk (tussur),Bengal,NA,NA,NA,NA,650.1424999999999,2.142149917627677
